epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,571.995,0.78319,0.56689,1.20415,0.84022,0.48454,0.54019,0.26654,1.82486,2.0742,1.5018,1.76107e-05,1.76107e-05,1.76107e-05
85,576.683,0.56939,0.7344,1.10942,0.84022,0.48454,0.54019,0.26654,1.82486,2.0742,1.5018,1.68333e-05,1.68333e-05,1.68333e-05
86,581.849,0.73367,0.66423,1.09947,0.84022,0.48454,0.54019,0.26654,1.82486,2.0742,1.5018,1.60323e-05,1.60323e-05,1.60323e-05
87,586.455,0.75062,0.78846,1.05099,0.84022,0.48454,0.54019,0.26654,1.82486,2.0742,1.5018,1.52077e-05,1.52077e-05,1.52077e-05
88,591.525,0.79128,0.86436,1.38088,0.83875,0.48396,0.53434,0.26786,1.83474,2.06523,1.50651,1.43596e-05,1.43596e-05,1.43596e-05
89,596.841,0.99637,0.93274,1.4831,0.83875,0.48396,0.53434,0.26786,1.83474,2.06523,1.50651,1.34879e-05,1.34879e-05,1.34879e-05
90,602.079,0.65463,0.63942,1.01345,0.83875,0.48396,0.53434,0.26786,1.83474,2.06523,1.50651,1.25927e-05,1.25927e-05,1.25927e-05
91,607.347,0.46046,0.51561,0.89119,0.83875,0.48396,0.53434,0.26786,1.83474,2.06523,1.50651,1.16739e-05,1.16739e-05,1.16739e-05
92,612.289,0.71148,0.70076,0.99383,0.83575,0.48534,0.53533,0.2778,1.83306,2.0237,1.4893,1.07315e-05,1.07315e-05,1.07315e-05
93,616.932,0.47655,0.45705,0.98493,0.83575,0.48534,0.53533,0.2778,1.83306,2.0237,1.4893,9.76562e-06,9.76562e-06,9.76562e-06
94,621.325,0.54234,0.43365,0.88373,0.83575,0.48534,0.53533,0.2778,1.83306,2.0237,1.4893,8.77613e-06,8.77613e-06,8.77613e-06
95,626.26,0.43468,0.45052,0.89798,0.83575,0.48534,0.53533,0.2778,1.83306,2.0237,1.4893,7.76308e-06,7.76308e-06,7.76308e-06
96,631.744,0.43984,0.50687,0.96135,0.83992,0.46585,0.55519,0.3048,1.74935,1.95214,1.43819,6.72648e-06,6.72648e-06,6.72648e-06
97,637.405,0.68978,0.60666,1.04965,0.83992,0.46585,0.55519,0.3048,1.74935,1.95214,1.43819,5.6663e-06,5.6663e-06,5.6663e-06
98,642.534,0.51699,0.48925,0.91065,0.83992,0.46585,0.55519,0.3048,1.74935,1.95214,1.43819,4.58257e-06,4.58257e-06,4.58257e-06
99,647.171,0.47547,0.46012,0.90968,0.83992,0.46585,0.55519,0.3048,1.74935,1.95214,1.43819,3.47528e-06,3.47528e-06,3.47528e-06
100,652.701,0.55757,0.49052,1.00276,0.56165,0.50871,0.60749,0.34368,1.70179,1.87034,1.40977,2.34442e-06,2.34442e-06,2.34442e-06
